Date,Type,Symbol,Quantity,Price,Amount,Description,Currency
2025-07-10 16:00:00,Dividend,BABA,0.0,0.0,131.25,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,USD
2025-07-11 16:00:00,Other,TSLY,0.0,0.0,1.16,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-07-22 16:00:00,Dividend,MU,0.0,0.0,4.6,MICRON TECHNOLOGY INC,USD
2025-08-08 16:00:00,Other,TSLY,0.0,0.0,0.9,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-08-18 16:00:00,Interest,,0.0,0.0,0.01,BANK INT ...525 TD BANK USA NA,USD
2025-09-05 16:00:00,Other,TSLY,0.0,0.0,1.18,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-09-15 16:00:00,Buy,DLO,20.0,14.26,-285.2,DLOCAL LTD FCLASS A,USD
2025-09-16 16:00:00,Interest,,0.0,0.0,0.01,BANK INT ...525 TD BANK USA NA,USD
2025-10-03 16:00:00,Other,TSLY,0.0,0.0,2.41,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-10-17 16:00:00,Other,TSLY,0.0,0.0,0.58,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-10-21 16:00:00,Dividend,MU,0.0,0.0,4.6,MICRON TECHNOLOGY INC,USD
2025-10-24 16:00:00,Other,TSLY,0.0,0.0,0.5,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-10-31 16:00:00,Other,TSLY,0.0,0.0,0.34,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-11-03 16:00:00,Sell,MU,40.0,234.0,9359.99,MICRON TECHNOLOGY INC,USD
2025-11-03 16:00:00,Buy,DLO,4.0,14.355,-57.42,DLOCAL LTD FCLASS A,USD
2025-11-03 16:00:00,Buy,RBLX,87.0,107.34,-9338.58,ROBLOX CORP CLASS A,USD
2025-11-07 16:00:00,Other,TSLY,0.0,0.0,0.44,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-11-14 16:00:00,Other,TSLY,0.0,0.0,0.29,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-11-21 16:00:00,Other,TSLY,0.0,0.0,0.27,YIELDMAX TSLA OPT INCM STGY ETF,USD
2025-12-01 16:00:00,Other,88636J444,0.0,0.0,0.29,YIELDMAX TSLA OPT INCXXXREVERSE SPLIT EFF: 12/01/25,USD
2025-12-02 16:00:00,CashInLieu,TSLY,0.0,0.0,22.96,TIDAL TR II YIELDMAX TSLA OPT INCOME STRATEGYETF NEW,USD
2026-05-11 16:00:00,Fee,BABA,0.0,0.0,-2.37,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,USD
2026-06-10 16:00:00,Dividend,DLO,0.0,0.0,4.72,DLOCAL LTD FCLASS A,USD
2026-06-22 16:00:00,Fee,TCEHY,0.0,0.0,-7.0,TENCENT HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS,USD
2026-06-22 16:00:00,Dividend,TCEHY,0.0,0.0,67.49,TENCENT HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS,USD
2026-07-13 16:00:00,Fee,BABA,0.0,0.0,-2.5,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,USD
2026-07-13 16:00:00,Dividend,BABA,0.0,0.0,131.25,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,USD
2026-07-16 16:00:00,Buy,TME,23.0,9.29,-213.67,TENCENT MUSIC ENTMT GR F,USD
